text,dataset,label
 tu mamá la chismosa pinché vieja de Torreón @AntonioAttolini,det_misoginia,1
"""Presidenta del sindicato de mamás luchonas"" En busca de un Papa para mis bendiciones me acueste con quién me acueste!",det_misoginia,1
"""Weeey nosotros somos el virus ??"" pues órale mátate morra, ayuda al planeta a librarse de este mal! O todos somos virus menos tú, ridícula?",det_misoginia,1
"""ya sé mucho de ese tema y tengo clarito todo todo"" *sale embarazada a los 16 *",det_misoginia,1
"#JuegoSurvivor Todos los Alcones me cagan, bola de hipócritas, los ""hombres"" pocos huevos y las viejas que mejor se vayan a tomar el Té pinches mamonas, a mi me representa una vieja cabrona y con huevos, no esas viejas payasas, mejor que vayan a cuidar sus implantes ??",det_misoginia,1
#JuegoSurvivore cagan las mujeres de halcones de todo se quejan así son los juegos mejor no hubieran ido cuando ellas hacen algo porque no se quejan solo lo que les conviene Cara aburrida,det_misoginia,1
#LadyCinepolis alguien que tenga una hija de la edad de esa pinché mugrosa para que le meta una buena arrastrada ! Yo le digo a una vecina para que le ponga sus cacheteadones a la mamá ! @Cinepolis nunca las dejen entrar a sus salas  ????..,det_misoginia,1
#LadyComeGratis pinche vieja abusona d mierda sino traía dinero para tragar q no salga d su casa la culera pinche vieja traga cuando hay,det_misoginia,1
#LadyComeGratis que poca madre! Eso no se vale pinche marrana! Esa panzota no es es gratis he!,det_misoginia,1
"#ladycomegratis, alias Brenda Pardo Lemus, es una sinvergüenza. Aparentemente de Torreón, fue a Gómez Palacio, Durango, a tragar gratis. Y en su Facebook bien que presume sus tragaderas desde hace años.",det_misoginia,1
#nomasfeminismo pinshis morras vyan a la cocina y agamen un sándwich :v,det_misoginia,1
#YoNoLesCreo Mitomanas.,det_misoginia,1
*Lesbiana feminazi,det_misoginia,1
"*Morra tiene mucho dinero por sus tetotas y/o nalgotas* La misma morra: gracias a todos por su apoyo, me ha costado mucho esfuerzo tener lo que tengo. El querer es poder?????????",det_misoginia,1
"*Tienes la panocha muy usada, ya no quiero penetrarla. Ningún hombre, jamás.",det_misoginia,1
"... se embraza por creer que entiende cómo funciona su cuerpa ,  se complica y aborta fin de la historia ...",det_misoginia,1
.... bien pndja ud !!! que se cayó de pequeña o que .... o tomaba leche paterna ???,det_misoginia,1
"??????????????????Ese pobre pendejos, aparte de fea la e-thot se ve que está gorda o embarazada, no mamar jajajaja y sucia la morra pinche tiradero que tiene, esos vírgenes se dejan engañar por una par de tetas y si esta embarazada pues es por eos jajajaja.",det_misoginia,1
