text,dataset,label
@cpgarcieral @ceciliasotog Ja ja otra ignorante seguramente hoy ya estaría funcionando el aeropuerto ja ja el chiste es salir a FREGAR,miscorpus,1
@InesArrimadas Jodete maldita p... Malfollada. Muerdete con tu propio veneno y llévate a todos esos barones díscolos a tu partido y hundiros todos juntos. Tu indigencia mental no tiene limites.,miscorpus,1
"@LaFallaras @populares @CiudadanosCs Putas borrachas y yonkis como esta cerda llenan esta mierda de app, al final esto pertenece aa izquierda y aquí sólo ellos pueden insultar y calumniar a quien quieran sin ninguna censura, pero vamos que al final esta borracha acabará donde lo está pidiendo a gritos",miscorpus,1
"Aparte de la tonta de Greta y el tonto de Bardem...en el COP25, que tal? #COP25",miscorpus,1
"@tecovasosa Habla mal de un Comunista, una Feminazi o cualquier otro animal de la Fauna Izquierdoza, y te anularán la cuenta...!",miscorpus,1
Hay que copiar esta ley para evitar la promoción del odio y la apología de la violencia feminazi https://t.co/idq4uIkgRR,miscorpus,1
"@Marian_Carbajal A que mierda le llamas machista ignorante de mierda?
Típica socialista bruta que se pasa por los huevos la ciencia, la verdad y las estadisticas
Me dan asco femimierdas",miscorpus,1
@Qir43w0XiGT3gQg Das asco 🤮 asquerosa feminazi y además fea y goooooordaa por eso nadie las mira por usadas 🤡 https://t.co/gnF0Qwpl6O,miscorpus,1
"Qué imagen ridícula...
Metiendo a las niñas en sus tontas ideas...Feminazis, salgan del hueco! https://t.co/f2gQWHF7TV",miscorpus,1
@zetaunolima @MarialeBernedo Era feminista o feminazi ... Son violentas en todo ....  No me sorprendería que haya más delincuentes entre ellas....,miscorpus,1
"@Eme_Ubermensch Cómo te lea alguna feminazi se te cae el pelo.
(Qué bonito ...!!!)",miscorpus,1
@FLopez14___ callate puta,miscorpus,1
@monasterioR Cada día es usted mas patética.,miscorpus,1
@AnabelAlonso_of Se ser más payasa que este puto personaje,miscorpus,1
"@LaFallaras @Enzo_Galb Por mucho perfume que se ponga una cerda, una cerda siempre es una cerda",miscorpus,1
@todonoticias se lo pasan a la histérica de los anteojos de murciélago q no sé como se llama Greta Thunberg registra su nombre y el de su movimiento como marcas comerciales https://t.co/BrG3j0TS4a,miscorpus,1
@ladelmar_ @2000DeComapan Señora feminazi calmese,miscorpus,1
que mina estúpida,miscorpus,1
"Hay revistas y diarios feministas que desconocen el término ""feminazi"", tienen argumentos estupidos",miscorpus,1
FEMINAZIS HIPÓCRITAS!! https://t.co/oXpk4bMf6s,miscorpus,1
@elcomercio_peru Otra feminazi más,miscorpus,1
"@cayetanaAT @Milin60 La realidad es que a esta pedazo de loca, al igual que el resto del PSOE y Podemos, no les importa España, por supuesto que mucho menos les importará Venezuela.",miscorpus,1
@InesArrimadas @elmundoes Estas loca? Un acuerdo con la mafia de la derecha nunca! Y tu al paro! Que ya estas sobrando.,miscorpus,1
"@LaFallaras @populares @CiudadanosCs Loca que eres una puñetera loca, sin ser NADIE, tienes que hablar de personajes reconocidos para intentar ser ALGUIEN. 

PATÉTICA",miscorpus,1
@LaFallaras Lo dejamos en perra en celo,miscorpus,1
Mil veces desgraciadas las Feminazis locales y el comecaliente de Chichobelo. Ellos deberían ocupar el lugar de esa pobre criatura. https://t.co/4nR0MdavrY,miscorpus,1
"Apoyo totalmente al ""LicenciadE Vidal"" ante el ataque del fascismo progresista y su dictadura de pensamiento único.

Yo propongo que se lo declare:

🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷
HEROE NACIONAL DEL SIGLO21
🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷

Cada RT es 1 feminazi ofendida https://t.co/d5aLRysdjN",miscorpus,1
A las Feminazi les encantará esta bellezura! así se admira la vida! No se aborta! https://t.co/FVXEEAhSso,miscorpus,1
"@ramirobless78 @lizam5100472 @politikcorrecta @CarlosVerareal Si yo me indigno contra el aborto, ellas mismas son capaces de atacarme por no estar de acuerdo con las feminazis. Así de hipócritas son.",miscorpus,1
"@GretaThunberg Loca!! deja Europa y vete nadando a China que es el mayor contaminante del mundo. Vete a Egipto. Estoy harta de tus imbecilidades y el juego manejo político con el que titiritean. Cuando te vea protestando en China, gritando etc... Igual cambio de opinión",miscorpus,1
"@MariiSolano3 @mcoto04 @CarlosAlvQ Su comentario es tan hipócrita como su asquerosa ideología,no me venga con cuentos chinos feminazi. https://t.co/lEYTeHdOLf",miscorpus,1
@Senderoparaiso De la feminazi jajajaja,miscorpus,1
"@0__FRANCISCO_0 @HectorYepezM Fe de erratas: ""mositEs"" (con lenguaje inclusivo para que no se enojen las feminazis)",miscorpus,1
"@DalasReview @clauss731 Nos dijo tóxicos, ya puedes ver la clase de mujer, estoy completamente decepcionada. Estaba leyendo los comentarios y encontré mensajes de feministas diciéndole cosas como ""Por fin una mujer que no se deja humillar por un controlador"", penoso.",miscorpus,1
"La explicación de un marino profesional: ""Así consume Greta"" 
Más tonta que Abundio, que vendió el coche para poder comprar gasolina 

https://t.co/Pg24P5LJn1",miscorpus,1
"Las feminazi en acción.  Jamás una mujer que haga eso tendrá más allá de mi indiferencia y secreto desprecio. 

https://t.co/Ls04Sfhzog",miscorpus,1
Ya empezaron los progres y las feminazis a joder.,miscorpus,1
@pochoharb1 Otra feminazi ardida..  no hay más explicacion,miscorpus,1
"Esto es FEMINAZI, no FEMINISTA 
Háztelo mirar🤦🏻‍♀️ https://t.co/EY33MU3zTe",miscorpus,1
@Sekart110 @AquAhora1 @akrystha @rosalalejandria Pues sí. Las captan pero no para liberarlas sino por joder nuestra  sociedad española. Tal cual. ¿O es que no hemos visto ya a alguna que otra con yihab hablando como una feminazi?,miscorpus,1
"@LeticiaDolera Q parte no entendéis las chiringuiteras de q la niña es puta y se ha inventado la violación?
Lo hizo con total consentimiento y punto, os pongáis como os pongáis.",miscorpus,1
GRETA CALLATE LA PUTA BOCA,miscorpus,1
"@BNChile @Culturas_RM @culturas_cl @IntendenciaRM @BPDigital_cl @Consuelovaldesc @carlos_maillet @BibliotecasSNBP @ANdeChile @injuvrm Después del paseo por la @BNChile, te puedes dirigir al @ANdeChile y recorrer la exposición ""Brujería en Chile colonial"", con piezas fabricadas por las loceras, Greta Cerda y Marta Contreras y dibujos de la ilustradora Marcela Trujillo, #Maliki. DE l. A V. de 9:00 a 17:00 hrs. https://t.co/cfMGTREnkh",miscorpus,1
@merlinrecargado @Chorreron No son mejoras salariales son las feminazis del Calahari,miscorpus,1
Ahora entiendo el problema de las Feminazis ...a sido querer ser hombres ...CARAJO!!! https://t.co/2Id2SYkY1E,miscorpus,1
@adyudiqueiror Cállate puta te dejo en visto,miscorpus,1
"@MiamiVox Pues ya conozco 2 casos más de pedirles dinero.
El juicio de la, Arandina E lo que ha traído. 

Y los pobres que pagarán.",miscorpus,1
"Greta Thunberg es una chamaca pendeja, no se por qué verga le dan tanta atención.",miscorpus,1
Que puto monstruo sin alma le ha dado rt a Greta majareta https://t.co/IdR1NBJwrW,miscorpus,1
@cayetanaAT Tu estas loca......,miscorpus,1
@PublinewsGT Así quieren las feminazis que hayan más mujeres en el congreso?,miscorpus,1
"@cayetanaAT @NEBarrios Hija fe la gran puta , coño e madre!! Tarifada! Sucia",miscorpus,1
@GretaThunberg Que hijos de puta son los zurdos progres clase alta https://t.co/sDzfDTCD5Y,miscorpus,1
"@InesArrimadas Patética!! Vete a freír pollos. Te quedan dos telediarios, sigues sin aprender",miscorpus,1
@AdaColau Eres taaaaan patetica,miscorpus,1
@InesArrimadas Eres patética!!,miscorpus,1
@LaFallaras 🤣🤣🤣🤣🤣🤣 estás como una puta chota...,miscorpus,1
"@DalasReview Mmm sobre las protestas feministas que dañan los monumentos, dalee Dalas",miscorpus,1
@InesArrimadas Patética y sinvergüenza.,miscorpus,1
@aliclaumon1 Q desgraciada esa infeliz y feminazi y después se quejan!,miscorpus,1
@elhigadodmarita Basta ver su simbolito verde y morado para saber que es una core feminazi. WTF,miscorpus,1
@LaFallaras Vayaaaaa  resacón has pasado eeehhhhhhh. Te pusiste ciega cabrona!!!!!😂😂😂😂😂😂😂,miscorpus,1
"@Irene_Montero_ Chica, cada día eres más golfa.",miscorpus,1
"Aberración, atropello, escándalo! Una autentica vergüenza la sentencia contra los chavales del Arandina. Ganaréis aunque os hayan jodido la vida💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻https://t.co/vzc31ytxLh",miscorpus,1
