text,dataset,label
Módulo 01 Invitados Directivos del Sindicato 'Mariano Otero' Tema: 'Mobbing o Acoso Laboral y Violacion a... https://t.co/xyHv9Inct3,ibereval,0
"@Causafiebres Claro, es que ha puesto imbécil y muchas se han dado por aludidas, por eso ahora están con ella a acoso y derribo.",ibereval,0
"@Nanchinho A ver si haces algo que sirva para mejorar el mundo, hija de puta @barbijaputa",ibereval,1
"@Rafhyta86 @ElDesmadre__ Habe pasame el video donde adan diga puta a las mujeres sevillistas...'MI NOVIA ES SEVILLISTA',no dice TODAS LAS SEVILLISTAS.",ibereval,1
@Otb_35 Que te calles so guarra.,ibereval,1
Quiero pegarte pq estás bien imbécil y después darte un besito. 🙂,ibereval,0
"L- El mejor luegar para tener mi polla ahora mismo es en la garganta de Wicca, llenándome de babas",ibereval,1
"@AngeAlvarez7 Callate perra, re despierta estoy",ibereval,1
@PoderFeminazi Eso es! Cojones!,ibereval,0
@ian_delaCalva @IrantzuVarela @pikaramagazine Oye por qué no molestas a tu puta madre?,ibereval,1
-Mujer: Bésame una vez y te pertenecere para siempre? -Hombre: Ostia! Gracias por la advertencia!,ibereval,1
"Miss perra: Valentinaaa amo mucho tu icon y header son re lindos,te mereces todo con tus ídolos y te mereces tanto abrazar a camila & ariana *al igual que todos tus ídolos*tu cuenta en general es perfecta y una de mis favoritas, eres una personita muy especial para mi+",ibereval,0
@EdiiXI @lidiahdlgo Cállate tu !! Perra,ibereval,1
"@LeticiaDolera Y digo yo... si se pretende dar un mensaje puramente político, por qué no se lo escriben a un tío en la polla 😒😒",ibereval,0
NINGUNA MUJER ES 'PUTA' ❗❗❗ https://t.co/cV0CQM5RIg,ibereval,0
"@JeronimoWEB @Zurine3 @Juliotrumpet Es preocupante que todas las fantasías sean hacernos daños y follarte a tu hija, yo me lo miraría",ibereval,1
"Editar, además de complicado, es lo que hace de algo que merezca la pena o no, porque puedes haber grabado la puta hostia de planos, que si no los montas bien, con un sentido y los maquillas atractivamente, se va a la mierda.",ibereval,0
Bien joder una puta alegría!! Te lo mereces pequeña #OTGala9,ibereval,0
@ShimaTrek dijo que el acoso no es tan grave porque al menos no es violación ?????,ibereval,0
Todo política... no se levanta la sesión y estos hijos de puta mandan a los peones que están en la plaza y provocar violencia... 15 policías heridos pero no pasa nada... si esos que están ahí son el pueblo... DIOS MIO el pueblo es mi vieja que se rompe el lomo laburando no ellos.,ibereval,0
Casuso callate de una puta vez https://t.co/tWmjW1UFMM,ibereval,0
@eduardoc60 @RuiDeAzevedo411 Rui si tu eres una perra enamorada,ibereval,1
"@dsilvao Más que seguro que muchos nacieron producto de acoso y hasta violación 😒. Personalmente, nunca he tenido problemas para conquistar sin recurrir a la intimidación.",ibereval,0
"@BedMM @NayBetania Tú eres la culpable, perra >:v",ibereval,1
Yo no puedo creer que las propias mujeres naturalicen una violación o acoso y lo justifiquen con que la mujer es la que “provoca”. Que mente de mierda la puta madre,ibereval,1
"Ahhh pero vaya y uno callada les acepte las cortesías sin ánimos de darles sexo que cuando se estrellen, de 'perra oportunista' no te bajan.",ibereval,0
"@KiraraPixel Ah no, ella no es zorra es libre, el que es imbécil es el que tiene pareja y no hace más que ir detrás de otros XD",ibereval,0
"LA MUJER ES MUY ZORRA,SABE COMO Y Q HACER,PARA CAGAR A UN TIPO,MAS SI EL TIPO ESTA ENAMORADO,o es un boludo,que le cree todo,le compra todo,le da todos los gustos,y termina cagado,,Yo solo quiero recuperar a mi hijo,,esa mina,se lo llevo,no me deja verlo, https://t.co/LC56ZBBOli",ibereval,1
@DalasReview @jk_rowling Hijo de puta muerete asqueroso no te mereces esa mierda,ibereval,0
"@Wachit0 @100Akshat @_Midoriyaa_ @NeohSJ La idea está la polla con cebolla pero obviamente no todos van a entrar por desconfianza, pero entrarán los que quieran ir y tengan confianza",ibereval,0
@pprecuero @EdGrimaldo Ni tas trabajando perra callate.,ibereval,1
"@ngelSnchezC1 @jfitzgerald_86 @JavaliVerruga @LeticiaDolera No son horas de estar tocándonos en coño a 1 de enero, caballeros, dispérsense.",ibereval,0
le dije a mi mamá que extrañaba a un pibito y me tiró los pelos jajajajajajajjaja enseñandome como en los viejos tiempos perra,ibereval,0
@Dlagox no sabes cuanto,ibereval,0
"Y yo atorado en el tráfico, claramente tu eres la perra de esta relación. https://t.co/2CaxQqwHqQ",ibereval,1
Nada más vulgar y de mala educación entrar a mi casa y gritarme sin saber de que me habla. TE MERECES EL INFIERNO PERRA.,ibereval,1
"@birarxs nono claro que no, callate q mientras tenga alcohol vos tragas perra",ibereval,1
"Dos amigos hablando: -Raúl, q me das por mi mujer? -Nada -Trato hecho.",ibereval,1
"@vignaxnnayar No tenes nada que agradecer, te lo merecesssss blda !!! Te amo mas zorra💙💙",ibereval,0
@SamuSG_ pues comemela,ibereval,0
Lpm la perra no merecía eso :( https://t.co/H6AUh7BX8m,ibereval,0
@AlexandGutiz Pues dispuesto a ser un amo muy exigente! empinarte a mi gusto y nalguearte como te lo mereces por puta cachonda y zorra,ibereval,1
"— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?",ibereval,0
+¿Es que solo sabes subir historias de tu perra? -¿Es que hay algo más que merezca la pena?,ibereval,0
"Marximo cultural y destrucción lingüística, cuando haya una violación y ocurran acosos las veremos chillando, la división de baños por genero hace un filtro para enfermos mentales. https://t.co/txI3LAxZSU",ibereval,0
"@fxbianna Y tu eres la amiga perra que me lo va mamar a espaldas de ella, estupida",ibereval,1
@Mariiana1478 @vca99 @laura9909_ @mejiaosorio_ Tú eres la perra mayor JAJAJAJAJAJA con manes de carros,ibereval,1
@KilvettZ Cállate tú vende patria hijo de tu maldita perra madre q te trajo al mundo.. te hubieras ido con todo y placenta al infierno,ibereval,1
"@pauli_lovagnini JAJAJAJAJAJAJA cállate perra 😂. Lo que debe ser ese video 🤢, we",ibereval,1
"@AgathaBribli Te lo mereces, por usar uñas de GUARRA",ibereval,1
@palopascalee paloma cállate la boca que sos de flaca hija de perra una envidia,ibereval,1
"Me maman esos casos en los que el hombre es el enculado y la mujer es bien perra, es como ver el otro lado de la moneda 🤔",ibereval,0
"dicen que los animales son los más fieles, pero si tú eres una perra, qué pasó?!!!",ibereval,1
@TeleShowTV @EdgarCamarasa Si era tan buena no estaría preso por ABUSO ACOSO VIOLACIÓN A UN MENOR. Que pague para que aprenda el y sus seres queridos.,ibereval,0
¿Estás en contra de Erdogan? Pues te ponemos una foto con una polla en la cara y manipulamos el titular. https://t.co/qbG04sMOsv,ibereval,0
"Para que? Si tu eres una perra, tienes 182837332 qlitos.l. i miss you😘 https://t.co/fOomk28Phf",ibereval,1
